id_expediente,id_contrato,id_renglon,marco_legal,tipo_proceso,fecha_sancion_normativa,fecha_publicacion_normativa,fecha_inicio_contrato,fecha_fin_contrato,item,descripcion_item,precio_unitario_item,moneda_precio_unitario_item,cantidad_item,unidad_medida_item,monto_total_renglon,monto_total_contrato,moneda_monto_contrato,monto_total_proceso,unidad_ejecutora,organismo_normativa,proveedor_razon_social,proveedor_cuit,URL
EE-2019-17569749-DGCTFS,22.0,2.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores con Asistencia Psicogeriátrica,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",27375.0,ARS,,,,892680.0,ARS,3715760.0,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,dama fe s.r.l (geriatrico santaisabel),,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508027
EE-2019-16988322-DGCTFS,23.0,1.0,433/16,gasto,2020-02-10,2020-02-17,01-11-2019,31-12-2019,servicio de Transporte,,,,,,,305822.3,ARS,713808.8799999999,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,remises capital-logistica y traslados ag. hab 1641 gcba,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508030
EE-2019-24870843-DGCTFS,24.0,1.0,433/16,gasto,2020-02-10,2020-02-17,01-10-2019,31-12-2019,Sesion de Hemodiálisis Crónica (HDC),"""Servicio de Diálisis para pacientesINCLUIR SALUD, cápita CABA""",4500.0,ARS,1.0,sesión,,2454604.96,ARS,3315944.92,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,asociacion regional de dialisis y transplantes renales de capital federal y provincia de buenos aires,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508031
EE-2019-24870843-DGCTFS,24.0,2.0,433/16,gasto,2020-02-10,2020-02-17,01-10-2019,31-12-2019,Diálisis Peritoneal Ambulatoria Continua (DPAC),"""Servicio de Diálisis para pacientesINCLUIR SALUD, cápita CABA""",65000.0,ARS,1.0,mes,,2454604.96,ARS,3315944.92,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,asociacion regional de dialisis y transplantes renales de capital federal y provincia de buenos aires,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508031
EE-2019-24870843-DGCTFS,24.0,3.0,433/16,gasto,2020-02-10,2020-02-17,01-10-2019,31-12-2019,Traslado,"""Servicio de Diálisis para pacientesINCLUIR SALUD, cápita CABA""",25.88,ARS,,km,,2454604.96,ARS,3315944.92,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,asociacion regional de dialisis y transplantes renales de capital federal y provincia de buenos aires,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508031
EE-2019-25860877-DGCTFS,25.0,1.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",23805.0,ARS,,,,415395.0,ARS,2301431.0,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,geriatrico san martin,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508033
EE-2019-25860877-DGCTFS,25.0,2.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores con Asistencia Psicogeriátrica,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",27375.0,ARS,,,,415395.0,ARS,2301431.0,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,geriatrico san martin,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508033
EE-2020-05108271-HNJTB,26.0,1.0,433/16,gasto,2020-02-10,2020-02-17,,,ampollas de Haloperidol Decanoato,"""Adquisición de 300 ampollas de Haloperidol Decanoatoy 25000 comprimidos de Haloperidol 10 mg""",,,300.0,ampollas,,375500.0,ARS,375500.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,farmed s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508045
EE-2020-05108271-HNJTB,26.0,2.0,433/16,gasto,2020-02-10,2020-02-17,,,comprimidos de Haloperidol 10 mg,"""Adquisición de 300 ampollas de Haloperidol Decanoatoy 25000 comprimidos de Haloperidol 10 mg""",,,25000.0,comprimidos,,375500.0,ARS,375500.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,farmed s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508045
EE-2019-25861368-DGCTFS,27.0,1.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",23805.0,ARS,,,,476100.0,ARS,476100.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,cisneros silviaalejandrina (residencia geriatrica santa teresita),,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508046
EE-2019-25861368-DGCTFS,27.0,2.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores con Asistencia Psicogeriátrica,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",27375.0,ARS,,,,476100.0,ARS,476100.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,cisneros silviaalejandrina (residencia geriatrica santa teresita),,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508046
EE-2019-26453559-DGCTFS,28.0,1.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",23805.0,ARS,,,,345165.0,ARS,2007251.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,avril s.r.l (centro geriatricobelgrano),,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508047
EE-2019-26453559-DGCTFS,28.0,2.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores con Asistencia Psicogeriátrica,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",27375.0,ARS,,,,345165.0,ARS,2007251.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,avril s.r.l (centro geriatricobelgrano),,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508047
EE-2019-25861764-DGCTFS,29.0,1.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",23805.0,ARS,,,,451095.0,ARS,1028337.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,instituto geriatrico argentino,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508048
EE-2019-25861764-DGCTFS,29.0,2.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores con Asistencia Psicogeriátrica,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",27375.0,ARS,,,,451095.0,ARS,1028337.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,instituto geriatrico argentino,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508048
2019-15784415-GCABA-DGCTFS,30.0,1.0,433/16,gasto,2020-02-11,2020-02-13,01-12-2019,31-12-2019,Sesion de Hemodiálisis Crónica (HDC),"""Servicio de Diálisis para pacientesINCLUIR SALUD, cápita CABA""",4500.0,ARS,1.0,sesión,,2496853.16,ARS,2496853.16,,SUBSECRETARIA PLANIFICACION SANITARIA Y GESTION EN RED,fresenius medical care argentina s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507706
2019-15784415-GCABA-DGCTFS,30.0,2.0,433/16,gasto,2020-02-11,2020-02-13,01-12-2019,31-12-2019,Diálisis Peritoneal Ambulatoria Continua (DPAC),"""Servicio de Diálisis para pacientesINCLUIR SALUD, cápita CABA""",65000.0,ARS,1.0,mes,,2496853.16,ARS,2496853.16,,SUBSECRETARIA PLANIFICACION SANITARIA Y GESTION EN RED,fresenius medical care argentina s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507706
2019-15784415-GCABA-DGCTFS,30.0,3.0,433/16,gasto,2020-02-11,2020-02-13,01-12-2019,31-12-2019,Traslado,"""Servicio de Diálisis para pacientesINCLUIR SALUD, cápita CABA""",25.88,ARS,,km,,2496853.16,ARS,2496853.16,,SUBSECRETARIA PLANIFICACION SANITARIA Y GESTION EN RED,fresenius medical care argentina s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507706
EE-2020-01657850-MSGC,31.0,1,433/16,gasto,2020-02-11,2020-02-13,01-12-2019,31-12-2019,Servicio de Limpieza General e Integral,"Servicio de Limpieza General e Integral, en el Hospital de Salud Mental José T. Borda",,,,,,4896501.9,ARS,4896501.9,,SUBSECRETARÍA ATENCIÓN HOSPITALARIA,manila s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507728
EE-2019-39313043-GCABA-DGABS,32.0,1.0,433/16,gasto,2020-02-11,2020-02-14,,,GAMMAGLOBULINA HUMANA,adquisición de un(1) kilogramo mil (1000) grs.- de GAMMAGLOBULINA HUMANA,,,700.0,gr,3150000.0,3150000.0,ARS,4800000.0,,SUBSECRETARIA PLANIFICACION SANITARIA Y GESTION EN RED,medifarm s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507908
EE-2019-39313043-GCABA-DGABS,410.0,2,433/16,gasto,2020-02-11,2020-02-14,,,GAMMAGLOBULINA HUMANA,adquisición de un(1) kilogramo mil (1000) grs.- de GAMMAGLOBULINA HUMANA,,,300.0,gr,1650000.0,1650000.0,ARS,4800000.0,,SUBSECRETARIA PLANIFICACION SANITARIA Y GESTION EN RED,suizo argentina s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507908
8544482-MGEYA-DGSPLU/15,34.0,1.0,433/16,licitacion publica,2020-02-11,2020-02-14,,,Reparacion de desagües pluviales existentes,"""Mantenimiento de la red pluvial y trabajos complementarios. ubicada en F. Vallese entre Hidalgo yH. Pueyrredon de esta Ciudad,""",,,,,4596588.6,16021635.0,ARS,16021635.0,,MINISTERIO DE ESPACIO PUBLICO E HIGIENE URBANA,reconstruccion caños s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507957
8544482-MGEYA-DGSPLU/15,34.0,2.0,433/16,licitacion publica,2020-02-11,2020-02-14,,,Reparacion de desagües pluviales existentes, 1° a 21° Redeterminación Provisoria de Precio,,,,,11425046.4,16021635.0,ARS,16021635.0,,MINISTERIO DE ESPACIO PUBLICO E HIGIENE URBANA,reconstruccion caños s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507957
EE-2019-03496131-DGABS,42.0,1.0,433/16,gasto,2020-02-11,2020-02-14,,,VISMODEGIB de 150mg,Adquisición de una (1) caja por 28 cápsulas de VISMODEGIB de 150mg. - NNE 9113307,,,28.0,capsulas,442715.57,442715.57,ARS,442715.57,,DIRECCIÓN GENERAL ABASTECIMIENTO EN SALUD,medifarm s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507863
EE-2020-2488550-DGABS,43.0,1.0,433/16,gasto,2020-02-11,2020-02-14,,,IMATINIB 400 mg. -NNE 9034829,"""Adquisición de una (1) caja x 30 comprimidos de IMATINIB 400 mg. -NNE 9034829 y tres (3) cajas x 60 comprimidos de IMATINIB 100 mg. - NNE 9107166",,,30.0,comprimidos,,266503.9,ARS,266503.9,Prof. Dr. Juan Pedro Garrahan,DIRECCIÓN GENERAL ABASTECIMIENTO EN SALUD,medifarm s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507864
EE-2020-2488550-DGABS,43.0,2.0,433/16,gasto,2020-02-11,2020-02-14,,,IMATINIB 100 mg. - NNE 9107166,"""Adquisición de una (1) caja x 30 comprimidos de IMATINIB 400 mg. -NNE 9034829 y tres (3) cajas x 60 comprimidos de IMATINIB 100 mg. - NNE 9107166",,,180.0,comprimidos,,266503.9,ARS,266503.9,Prof. Dr. Juan Pedro Garrahan,DIRECCIÓN GENERAL ABASTECIMIENTO EN SALUD,medifarm s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507864
EE-2019-25861137-DGCTFS,44.0,1.0,433/16,gasto,2020-02-11,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",23805.0,ARS,,,,380880.0,ARS,2137706.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,residencia geriatrica santa maria,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508050
EE-2019-25861137-DGCTFS,44.0,2.0,433/16,gasto,2020-02-11,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores con Asistencia Psicogeriátrica,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",27375.0,ARS,,,,380880.0,ARS,2137706.0,,DIRECCION GENERAL COORDINACION TECNOLOGIAS Y FINANCIAMIENTO EN SALUD,residencia geriatrica santa maria,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508050
EX2020-06199804-GCABA-COMUNA12,45.0,1.0,433/16,gasto,2020-02-11,2020-02-21,,,Puesta en valor fuente,"puesta en valor fuente plaza Gianantonio ubicada en calle Ladines 2500 con accesopor Ladines, Bolivia y Artigas, Villa Pueyrredón",,,1.0,u,3574353.15,3574353.15,ARS,3574353.15,,COMUNA 12,bosquimano sa,30- 71147002-2,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508899
2020-03513295-GCABA-DGCTFS,46.0,1.0,433/16,gasto,2020-02-12,2020-02-17,01-10-2019,31-10-2019,servicio de traslado,Servicio de TRASLADOS para,25.88,ARS,,km,,127450.4,ARS,127450.4,,SUBSECRETARIA PLANIFICACION SANITARIA Y GESTION EN RED,altaha s.r.l,33-71465485-9,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508093
2020-03513295-GCABA-DGCTFS,46.0,2.0,433/16,gasto,2020-02-12,2020-02-17,01-11-2019,30-11-2019,servicio de traslado,"pacientes INCLUIR SALUD, cápita CABA",27.94,ARS,,km,,127450.4,ARS,127450.4,,SUBSECRETARIA PLANIFICACION SANITARIA Y GESTION EN RED,altaha s.r.l,33-71465485-9,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508093
EE-2020-05746994-MSGC,47.0,1.0,433/16,gasto,2020-02-12,2020-02-18,01-01-2020,31-01-2020,servicio de limpieza general integral,delServicio de Limpieza General Integral de Talleres Protegidos de RehabilitaciónPsiquiátrica,,,,,,439306.0,ARS,439306.0,,DIRECCIÓN GENERAL DE SALUD MENTAL,amb sur s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508183
EE-2020-05908971-MSGC,48.0,1.0,433/16,licitacion publica,2020-02-12,2020-02-18,01-12-2019,31-12-2019,servicio de limpieza general integral,delServicio de Limpieza General e Integral en edificios dependientes de este Ministerio deSalud Carlos Pellegrini 313,,,,,,718247.49,ARS,718247.49,,DIRECCIÓN GENERAL RECURSOS FÍSICOS EN SALUD,la mantovana de servicios generales s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508203
EE-2020-05908971-MSGC,48.0,2.0,433/16,licitacion publica,2020-02-12,2020-02-18,01-12-2019,31-12-2019,servicio de limpieza general integral,delServicio de Limpieza General e Integral en edificios dependientes de este Ministerio deSalud Monasterio 480,,,,,,718247.49,ARS,718247.49,,DIRECCIÓN GENERAL RECURSOS FÍSICOS EN SALUD,la mantovana de servicios generales s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508203
EE-2020-05908971-MSGC,48.0,3.0,433/16,licitacion publica,2020-02-12,2020-02-18,01-12-2019,31-12-2019,servicio de limpieza general integral,delServicio de Limpieza General e Integral en edificios dependientes de este Ministerio deSalud Donato Álvarez 1236,,,,,,718247.49,ARS,718247.49,,DIRECCIÓN GENERAL RECURSOS FÍSICOS EN SALUD,la mantovana de servicios generales s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508203
EE-2020-05500065-MSGC,50.0,1,433/16,gasto,2020-02-12,2020-02-19,01-01-2020,31-01-2020,servicio de limpieza general integral,"Servicio de Limpieza General e Integral, en el Hospital de Salud Mental José T. Borda",,,,,,4896501.9,ARS,4896501.9,Hospital de Salud Mental José T. Borda,MINISTERIO DE SALUD,manila s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508459
05499688-GCABA-MSGC/2020,51.0,1,433/16,gasto,2020-02-12,2020-02-19,01-01-2020,31-01-2020,servicio de limpieza general integral,"Servicio de Limpieza en el Hospital de Gastroenterología ""Dr. Carlos B. Udaondo"",",,,,,,2142219.58,ARS,2142219.58,"Hospital ""Dr. Carlos B. Udaondo""",MINISTERIO DE SALUD,manila s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508460
